Common Name,Scientific Name
Balsam Fir,Abies balsamea
Japanese Maple,Acer palmatum
Amur Maple,Acer ginnala
Tree of Heaven,Ailanthus altissima
Silktree,Albizia julibrissin
Gray Alder,Alnus incana
Common Serviceberry,Amelanchier arborea 
Yellow Birch,Betula alleghaniensis
Sweet Birch,Betula lenta
Carolina Fanwort,Cabomba caroliniana
Pignut Hickory,Carya glabra
Shellbark Hickory,Carya laciniosa
Japanease Chestnut,Castanea crenata
American Chesnut,Castanea dentata 
Chinese Chestnut,Castanea mollissima
Common Hackberry ,Celtis occidentalis
Eastern Redbud,Cercis canadensis
Flowering Dogwood,Cornus florida 
Stiff Dogwood ,Cornus foemina
Littleleaf Titi,Cyrilla racemiflora
Russian Olive,Elaeagnus angustifolia 
Smooth Rodwood,Eugenia glabrata 
American Beech,Fagus grandifolia
White Ash,Fraxinus americana
Black Ash,Fraxinus nigra
Honeylocust,Gleditsia triacanthos 
American witchhazel,Hamamelis virginiana 
